,uuid,census_id,count
316,50765cb7-d9ea-4e21-99a4-fa879613a492,130,18
335,50765cb7-d9ea-4e21-99a4-fa879613a492,773,17
796,d77657c4-52a7-426f-b9d0-d71e10798c8a,773,17
129,2686f39c-bada-4658-854a-a62e7e5e8b8d,55,17
563,8a21c76b-74e3-4341-92be-33fcfdefdd63,61,17
319,50765cb7-d9ea-4e21-99a4-fa879613a492,133,17
484,74278bda-b644-4520-8f0c-720eaf059935,141,17
313,50765cb7-d9ea-4e21-99a4-fa879613a492,120,17
813,d954b22d-0031-4b02-b91d-f86c1fbd8d22,61,17
905,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,34,17
176,2686f39c-bada-4658-854a-a62e7e5e8b8d,871,16
85,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,847,16
550,89d91339-52a3-405a-9f15-dba920f2726c,107,16
297,50765cb7-d9ea-4e21-99a4-fa879613a492,55,16
389,5993a94c-7d97-4df7-9abf-e493bfd5d000,1181,16
299,50765cb7-d9ea-4e21-99a4-fa879613a492,61,16
761,d77657c4-52a7-426f-b9d0-d71e10798c8a,22,16
579,8a21c76b-74e3-4341-92be-33fcfdefdd63,130,16
164,2686f39c-bada-4658-854a-a62e7e5e8b8d,769,15
169,2686f39c-bada-4658-854a-a62e7e5e8b8d,799,15
762,d77657c4-52a7-426f-b9d0-d71e10798c8a,25,15
346,50765cb7-d9ea-4e21-99a4-fa879613a492,874,15
387,5993a94c-7d97-4df7-9abf-e493bfd5d000,767,15
127,2686f39c-bada-4658-854a-a62e7e5e8b8d,51,15
93,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5,101,15
19,00009999-0000-1000-8000-00177a000002,749,15
455,74278bda-b644-4520-8f0c-720eaf059935,32,15
561,8a21c76b-74e3-4341-92be-33fcfdefdd63,53,15
120,2686f39c-bada-4658-854a-a62e7e5e8b8d,23,15
113,264a2992-d007-432e-b4ed-37d6af6e8d04,141,15
84,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,846,15
114,264a2992-d007-432e-b4ed-37d6af6e8d04,147,15
856,e2c56db5-dffb-48d2-b060-d0f5a71096e0,767,15
539,8277a5f1-4166-45d1-9f97-905df2a427d5,25,14
472,74278bda-b644-4520-8f0c-720eaf059935,87,14
465,74278bda-b644-4520-8f0c-720eaf059935,73,14
349,50765cb7-d9ea-4e21-99a4-fa879613a492,969,14
760,d77657c4-52a7-426f-b9d0-d71e10798c8a,20,14
80,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,147,14
304,50765cb7-d9ea-4e21-99a4-fa879613a492,77,14
454,74278bda-b644-4520-8f0c-720eaf059935,29,13
508,74278bda-b644-4520-8f0c-720eaf059935,855,13
338,50765cb7-d9ea-4e21-99a4-fa879613a492,800,13
325,50765cb7-d9ea-4e21-99a4-fa879613a492,146,13
345,50765cb7-d9ea-4e21-99a4-fa879613a492,873,13
562,8a21c76b-74e3-4341-92be-33fcfdefdd63,55,13
595,8a21c76b-74e3-4341-92be-33fcfdefdd63,767,13
549,89d91339-52a3-405a-9f15-dba920f2726c,101,13
314,50765cb7-d9ea-4e21-99a4-fa879613a492,122,13
148,2686f39c-bada-4658-854a-a62e7e5e8b8d,135,13
497,74278bda-b644-4520-8f0c-720eaf059935,767,12
293,50765cb7-d9ea-4e21-99a4-fa879613a492,32,12
208,2a955cfd-667b-4ac8-9141-73b9c168da7e,104,12
165,2686f39c-bada-4658-854a-a62e7e5e8b8d,773,12
166,2686f39c-bada-4658-854a-a62e7e5e8b8d,775,12
170,2686f39c-bada-4658-854a-a62e7e5e8b8d,800,12
356,547eaf8f-ed01-4ac9-ba18-800e320ee03c,133,12
520,74278bda-b644-4520-8f0c-720eaf059935,996,12
927,fe913213-b311-4a42-8c16-47faeac938db,109,12
778,d77657c4-52a7-426f-b9d0-d71e10798c8a,120,12
769,d77657c4-52a7-426f-b9d0-d71e10798c8a,60,12
152,2686f39c-bada-4658-854a-a62e7e5e8b8d,145,12
587,8a21c76b-74e3-4341-92be-33fcfdefdd63,147,12
123,2686f39c-bada-4658-854a-a62e7e5e8b8d,29,12
542,8277a5f1-4166-45d1-9f97-905df2a427d5,32,12
650,aa0c1a63-153f-4256-bc10-398508e2b590,797,11
171,2686f39c-bada-4658-854a-a62e7e5e8b8d,805,11
315,50765cb7-d9ea-4e21-99a4-fa879613a492,124,11
592,8a21c76b-74e3-4341-92be-33fcfdefdd63,749,11
585,8a21c76b-74e3-4341-92be-33fcfdefdd63,145,11
94,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5,107,11
560,8a21c76b-74e3-4341-92be-33fcfdefdd63,51,11
543,8277a5f1-4166-45d1-9f97-905df2a427d5,34,11
466,74278bda-b644-4520-8f0c-720eaf059935,74,11
142,2686f39c-bada-4658-854a-a62e7e5e8b8d,122,11
531,7aa9f224-d71e-4758-8f60-aa013261b9ac,61,11
140,2686f39c-bada-4658-854a-a62e7e5e8b8d,109,11
540,8277a5f1-4166-45d1-9f97-905df2a427d5,28,10
118,2686f39c-bada-4658-854a-a62e7e5e8b8d,20,10
723,ba7c72e9-17c1-4ecc-b3c0-0c960b14319e,122,10
385,5993a94c-7d97-4df7-9abf-e493bfd5d000,752,10
413,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,29,10
468,74278bda-b644-4520-8f0c-720eaf059935,77,10
568,8a21c76b-74e3-4341-92be-33fcfdefdd63,77,10
701,b2e5fc49-d460-42b9-893c-27dbaff9430a,34,10
179,2686f39c-bada-4658-854a-a62e7e5e8b8d,938,10
786,d77657c4-52a7-426f-b9d0-d71e10798c8a,146,10
591,8a21c76b-74e3-4341-92be-33fcfdefdd63,748,10
880,f1eabf09-e313-4fcd-80df-67c779763888,758,10
212,2a955cfd-667b-4ac8-9141-73b9c168da7e,117,9
581,8a21c76b-74e3-4341-92be-33fcfdefdd63,133,9
145,2686f39c-bada-4658-854a-a62e7e5e8b8d,131,9
495,74278bda-b644-4520-8f0c-720eaf059935,752,9
382,5993a94c-7d97-4df7-9abf-e493bfd5d000,147,9
764,d77657c4-52a7-426f-b9d0-d71e10798c8a,31,9
238,307e9194-9fe3-4412-ba98-6e816161a379,758,9
782,d77657c4-52a7-426f-b9d0-d71e10798c8a,133,9
342,50765cb7-d9ea-4e21-99a4-fa879613a492,853,9
809,d8db1b53-006f-453a-b832-0f8d6bc3b35f,147,9
317,50765cb7-d9ea-4e21-99a4-fa879613a492,131,9
871,e5fae995-38cb-4d78-ac3f-bd349871d6d4,133,9
400,5e9917bd-f3ac-41e6-8226-3fd79f340dc5,133,9
156,2686f39c-bada-4658-854a-a62e7e5e8b8d,747,9
125,2686f39c-bada-4658-854a-a62e7e5e8b8d,32,9
458,74278bda-b644-4520-8f0c-720eaf059935,53,9
553,8a21c76b-74e3-4341-92be-33fcfdefdd63,19,9
450,74278bda-b644-4520-8f0c-720eaf059935,13,9
40,09142332-4556-0f78-899e-ebbcce94eff1,141,8
124,2686f39c-bada-4658-854a-a62e7e5e8b8d,31,8
804,d77657c4-52a7-426f-b9d0-d71e10798c8a,977,8
849,e2c56db5-dffb-48d2-b060-d0f5a71096e0,141,8
141,2686f39c-bada-4658-854a-a62e7e5e8b8d,120,8
36,06649f1a-51ec-40c2-bae0-d1c063eae3bb,954,8
22,00009999-0000-1000-8000-00177a000002,758,8
475,74278bda-b644-4520-8f0c-720eaf059935,101,8
133,2686f39c-bada-4658-854a-a62e7e5e8b8d,74,8
343,50765cb7-d9ea-4e21-99a4-fa879613a492,855,8
898,f7f489e9-c07e-41b0-beab-a24ce4d49faa,758,8
160,2686f39c-bada-4658-854a-a62e7e5e8b8d,752,8
339,50765cb7-d9ea-4e21-99a4-fa879613a492,805,7
801,d77657c4-52a7-426f-b9d0-d71e10798c8a,855,7
184,2686f39c-bada-4658-854a-a62e7e5e8b8d,977,7
478,74278bda-b644-4520-8f0c-720eaf059935,120,7
416,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,51,7
323,50765cb7-d9ea-4e21-99a4-fa879613a492,143,7
35,06649f1a-51ec-40c2-bae0-d1c063eae3bb,147,7
836,e2c56db5-dffb-48d2-b060-d0f5a71096e0,55,7
842,e2c56db5-dffb-48d2-b060-d0f5a71096e0,106,7
845,e2c56db5-dffb-48d2-b060-d0f5a71096e0,122,7
852,e2c56db5-dffb-48d2-b060-d0f5a71096e0,147,7
866,e5a392d8-5351-4fb4-8bde-277773263d48,147,7
480,74278bda-b644-4520-8f0c-720eaf059935,124,7
883,f2356731-fbd4-4a10-8aa2-c89adf48a98d,958,7
895,f7b5c2e9-949d-49f3-bb3b-08762506cec1,61,7
908,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,150,7
348,50765cb7-d9ea-4e21-99a4-fa879613a492,954,7
511,74278bda-b644-4520-8f0c-720eaf059935,874,7
461,74278bda-b644-4520-8f0c-720eaf059935,61,7
697,b2e5fc49-d460-42b9-893c-27dbaff94309,101,7
420,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,154,7
510,74278bda-b644-4520-8f0c-720eaf059935,873,7
588,8a21c76b-74e3-4341-92be-33fcfdefdd63,149,7
451,74278bda-b644-4520-8f0c-720eaf059935,19,7
599,8a21c76b-74e3-4341-92be-33fcfdefdd63,797,7
755,d451a8ca-6bf8-7847-ffad-d5370ba20806,32,7
384,5993a94c-7d97-4df7-9abf-e493bfd5d000,750,7
105,20cae8a0-a9cf-11e3-a5e2-0800200c9a66,141,7
67,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,23,7
350,50765cb7-d9ea-4e21-99a4-fa879613a492,996,7
367,56db0365-a001-4062-9e4d-499d3b8eccf3,135,7
305,50765cb7-d9ea-4e21-99a4-fa879613a492,78,6
930,fe913213-b311-4a42-8c16-47faeac938db,147,6
505,74278bda-b644-4520-8f0c-720eaf059935,846,6
911,fc9781c4-022b-4e04-9c65-cba35b2ccc49,131,6
781,d77657c4-52a7-426f-b9d0-d71e10798c8a,131,6
421,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,773,6
419,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,147,6
556,8a21c76b-74e3-4341-92be-33fcfdefdd63,25,6
366,56db0365-a001-4062-9e4d-499d3b8eccf3,133,6
869,e5fae995-38cb-4d78-ac3f-bd349871d6d4,61,6
601,8a21c76b-74e3-4341-92be-33fcfdefdd63,846,6
603,8a21c76b-74e3-4341-92be-33fcfdefdd63,855,6
858,e2c56db5-dffb-48d2-b060-d0f5a71096e0,871,6
706,b2e5fc49-d460-42b9-893c-27dbaff9430b,101,6
702,b2e5fc49-d460-42b9-893c-27dbaff9430a,61,6
622,991f6f79-546b-d8fa-9850-2c2388c6d2ce,23,6
633,9eb353a0-69b6-4947-b710-bae643c8bca5,143,6
506,74278bda-b644-4520-8f0c-720eaf059935,847,6
507,74278bda-b644-4520-8f0c-720eaf059935,853,6
659,ab4c8ae3-86c7-4602-afb7-e82f678ef65a,61,6
788,d77657c4-52a7-426f-b9d0-d71e10798c8a,149,6
695,b2e5fc49-d460-42b9-893c-27dbaff94309,34,6
557,8a21c76b-74e3-4341-92be-33fcfdefdd63,29,6
713,b8ba3d72-9fd6-4ca1-89f6-d0da18de8375,13,6
482,74278bda-b644-4520-8f0c-720eaf059935,133,6
807,d8cec22e-e0c2-11e5-8d0f-02e208b2d34f,109,6
805,d77657c4-52a7-426f-b9d0-d71e10798c8a,1092,6
334,50765cb7-d9ea-4e21-99a4-fa879613a492,769,6
615,8b03238e-cebc-465d-8fb8-90e41e0f51ba,938,6
0,00009999-0000-1000-8000-00177a000002,13,6
106,20cae8a0-a9cf-11e3-a5e2-0800200c9a66,147,6
180,2686f39c-bada-4658-854a-a62e7e5e8b8d,954,6
52,18a54793-5c75-49ae-af6d-3edda84dffc3,34,6
128,2686f39c-bada-4658-854a-a62e7e5e8b8d,53,6
78,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,141,6
10,00009999-0000-1000-8000-00177a000002,109,6
237,2f98233b-c528-4156-b9f6-bb8f01d2b557,847,6
263,440b011b-acc7-4de3-b991-9e825c24c810,87,6
174,2686f39c-bada-4658-854a-a62e7e5e8b8d,853,6
217,2a955cfd-667b-4ac8-9141-73b9c168da7e,134,6
219,2a955cfd-667b-4ac8-9141-73b9c168da7e,749,6
253,4152554e-f99b-4a3b-86d0-947070693a78,61,6
23,00009999-0000-1000-8000-00177a000002,760,6
15,00009999-0000-1000-8000-00177a000002,127,6
20,00009999-0000-1000-8000-00177a000002,750,6
66,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,13,6
647,aa0c1a63-153f-4256-bc10-398508e2b590,147,5
244,38d76936-1b9f-425a-af17-612403da18b9,147,5
153,2686f39c-bada-4658-854a-a62e7e5e8b8d,146,5
534,7bc8ba18-f852-407e-be5f-36eff7b677e7,131,5
6,00009999-0000-1000-8000-00177a000002,102,5
766,d77657c4-52a7-426f-b9d0-d71e10798c8a,34,5
365,56db0365-a001-4062-9e4d-499d3b8eccf3,130,5
134,2686f39c-bada-4658-854a-a62e7e5e8b8d,77,5
683,b2e5fc49-d460-42b9-893c-27dbaff94306,101,5
368,56db0365-a001-4062-9e4d-499d3b8eccf3,146,5
893,f7826da6-4fa2-4e98-8024-bc5b71e0893e,109,5
17,00009999-0000-1000-8000-00177a000002,133,5
808,d8cec22e-e0c2-11e5-8d0f-02e208b2d34f,147,5
143,2686f39c-bada-4658-854a-a62e7e5e8b8d,124,5
239,31b0987b-7e64-4b54-ade4-4daa75573cd7,61,5
144,2686f39c-bada-4658-854a-a62e7e5e8b8d,130,5
236,2f98233b-c528-4156-b9f6-bb8f01d2b557,846,5
347,50765cb7-d9ea-4e21-99a4-fa879613a492,881,5
714,b8ba3d72-9fd6-4ca1-89f6-d0da18de8375,77,5
45,0f73d453-7524-4862-a864-3420875dba4b,767,5
146,2686f39c-bada-4658-854a-a62e7e5e8b8d,132,5
361,56db0365-a001-4062-9e4d-499d3b8eccf3,19,5
780,d77657c4-52a7-426f-b9d0-d71e10798c8a,130,5
708,b2e5fc49-d460-42b9-893c-27dbaff9430b,109,5
525,75cc8143-2d24-e47a-33e4-61363092b83f,34,5
30,03040000-2aae-4d26-ad62-03e9a8637ebd,61,5
859,e2c56db5-dffb-48d2-b060-d0f5a71096e0,995,5
850,e2c56db5-dffb-48d2-b060-d0f5a71096e0,143,5
423,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,855,5
173,2686f39c-bada-4658-854a-a62e7e5e8b8d,847,5
177,2686f39c-bada-4658-854a-a62e7e5e8b8d,873,5
669,b2e5fc49-d460-42b9-893c-27dbaff94302,109,5
925,fe913213-b311-4a42-8c16-47faeac938db,13,5
851,e2c56db5-dffb-48d2-b060-d0f5a71096e0,146,5
469,74278bda-b644-4520-8f0c-720eaf059935,78,5
593,8a21c76b-74e3-4341-92be-33fcfdefdd63,752,5
59,18a54793-5c75-49ae-af6d-3edda84dffc3,748,5
308,50765cb7-d9ea-4e21-99a4-fa879613a492,106,5
673,b2e5fc49-d460-42b9-893c-27dbaff94303,109,5
311,50765cb7-d9ea-4e21-99a4-fa879613a492,115,5
112,264a2992-d007-432e-b4ed-37d6af6e8d04,109,5
92,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,996,5
802,d77657c4-52a7-426f-b9d0-d71e10798c8a,938,5
639,a58bf14e-db0e-407e-ad7b-1d0a84528254,131,5
280,4d744d1f-9ee8-6e91-60ec-9c0643d8dff2,873,5
417,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,109,5
258,4165726f-6869-7665-4e65-74776f726b73,122,5
415,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,34,5
632,9eb353a0-69b6-4947-b710-bae643c8bca5,141,4
847,e2c56db5-dffb-48d2-b060-d0f5a71096e0,131,4
661,b19c90c3-c82c-ba3f-fa50-fdd2b787e5bb,74,4
863,e2e1adec-2e34-4320-82ff-b162204cef07,954,4
196,2a28c8e5-b65f-44aa-9837-e02e5967b103,78,4
692,b2e5fc49-d460-42b9-893c-27dbaff94308,101,4
691,b2e5fc49-d460-42b9-893c-27dbaff94307,124,4
870,e5fae995-38cb-4d78-ac3f-bd349871d6d4,122,4
185,2686f39c-bada-4658-854a-a62e7e5e8b8d,979,4
791,d77657c4-52a7-426f-b9d0-d71e10798c8a,748,4
666,b2e5fc49-d460-42b9-893c-27dbaff94301,109,4
476,74278bda-b644-4520-8f0c-720eaf059935,107,4
679,b2e5fc49-d460-42b9-893c-27dbaff94304,109,4
97,1e84766c-ac5c-4df6-a0af-3ea98dd5a91a,13,4
630,9eb353a0-69b6-4947-b710-bae643c8bca5,109,4
803,d77657c4-52a7-426f-b9d0-d71e10798c8a,954,4
694,b2e5fc49-d460-42b9-893c-27dbaff94308,124,4
16,00009999-0000-1000-8000-00177a000002,131,4
202,2a28c8e5-b65f-44aa-9837-e02e5967b107,78,4
496,74278bda-b644-4520-8f0c-720eaf059935,758,4
397,5e9917bd-f3ac-41e6-8226-3fd79f340dc5,109,4
621,98fc7ce5-64e6-4245-b1f4-5f2f9503e670,120,4
150,2686f39c-bada-4658-854a-a62e7e5e8b8d,143,4
672,b2e5fc49-d460-42b9-893c-27dbaff94303,101,4
688,b2e5fc49-d460-42b9-893c-27dbaff94307,107,4
203,2a28c8e5-b65f-44aa-9837-e02e5967b108,78,4
670,b2e5fc49-d460-42b9-893c-27dbaff94302,124,4
204,2a28c8e5-b65f-44aa-9837-e02e5967b109,78,4
504,74278bda-b644-4520-8f0c-720eaf059935,805,4
516,74278bda-b644-4520-8f0c-720eaf059935,968,4
39,09142332-4556-0f78-899e-ebbcce94eff1,109,4
571,8a21c76b-74e3-4341-92be-33fcfdefdd63,87,4
102,20cae8a0-a9cf-11e3-a5e2-0800200c9a66,13,4
725,ba7c72e9-17c1-4ecc-b3c0-0c960b14319e,133,4
329,50765cb7-d9ea-4e21-99a4-fa879613a492,150,4
746,c4b8ccde-cd5f-40ed-b5b2-f68851ff8ab2,74,4
756,d451a8ca-6bf8-7847-ffad-d5370ba20806,958,4
596,8a21c76b-74e3-4341-92be-33fcfdefdd63,769,4
837,e2c56db5-dffb-48d2-b060-d0f5a71096e0,61,4
584,8a21c76b-74e3-4341-92be-33fcfdefdd63,143,4
835,e2c56db5-dffb-48d2-b060-d0f5a71096e0,51,4
266,458a7133-0000-4e37-a4a4-5d8492586977,146,4
770,d77657c4-52a7-426f-b9d0-d71e10798c8a,61,4
916,fda50693-a4e2-4fb1-afcf-c6eb07647825,34,4
594,8a21c76b-74e3-4341-92be-33fcfdefdd63,758,4
731,bd48e18c-fc04-4c27-8176-8e55e8045c97,131,4
552,8a21c76b-74e3-4341-92be-33fcfdefdd63,13,4
918,fda50693-a4e2-4fb1-afcf-c6eb07647825,147,4
554,8a21c76b-74e3-4341-92be-33fcfdefdd63,20,4
296,50765cb7-d9ea-4e21-99a4-fa879613a492,53,4
301,50765cb7-d9ea-4e21-99a4-fa879613a492,74,4
7,00009999-0000-1000-8000-00177a000002,104,4
759,d77657c4-52a7-426f-b9d0-d71e10798c8a,13,4
243,36855890-eb06-4852-89b3-d35064ddce45,19,4
64,1acbad6e-e1a5-4838-a62a-d35d00c35b01,131,4
518,74278bda-b644-4520-8f0c-720eaf059935,977,4
369,56db0365-a001-4062-9e4d-499d3b8eccf3,147,4
698,b2e5fc49-d460-42b9-893c-27dbaff94309,109,4
700,b2e5fc49-d460-42b9-893c-27dbaff94309,124,4
2,00009999-0000-1000-8000-00177a000002,34,4
775,d77657c4-52a7-426f-b9d0-d71e10798c8a,107,4
844,e2c56db5-dffb-48d2-b060-d0f5a71096e0,115,4
11,00009999-0000-1000-8000-00177a000002,117,4
773,d77657c4-52a7-426f-b9d0-d71e10798c8a,77,4
799,d77657c4-52a7-426f-b9d0-d71e10798c8a,847,3
820,e0cb235d-7ee8-4e87-83c4-31730517fa09,892,3
572,8a21c76b-74e3-4341-92be-33fcfdefdd63,101,3
564,8a21c76b-74e3-4341-92be-33fcfdefdd63,66,3
586,8a21c76b-74e3-4341-92be-33fcfdefdd63,146,3
631,9eb353a0-69b6-4947-b710-bae643c8bca5,122,3
48,12345678-abe6-c60b-ec01-098765432101,120,3
638,a58bf14e-db0e-407e-ad7b-1d0a84528254,61,3
188,2686f39c-bada-4658-854a-a62e7e5e8b8d,1092,3
178,2686f39c-bada-4658-854a-a62e7e5e8b8d,874,3
473,74278bda-b644-4520-8f0c-720eaf059935,89,3
794,d77657c4-52a7-426f-b9d0-d71e10798c8a,767,3
640,a64ee4c7-e8c8-4656-58a5-47aacb11f9fa,131,3
567,8a21c76b-74e3-4341-92be-33fcfdefdd63,74,3
582,8a21c76b-74e3-4341-92be-33fcfdefdd63,135,3
100,20205def-9026-4955-bdcf-0a6a0fb547d2,34,3
798,d77657c4-52a7-426f-b9d0-d71e10798c8a,846,3
101,20310c9b-98c7-94eb-2d47-cc42227e086f,34,3
474,74278bda-b644-4520-8f0c-720eaf059935,99,3
611,8a21c76b-74e3-4341-92be-33fcfdefdd63,977,3
46,0f73d453-7524-4862-a864-3420875dba4b,846,3
86,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,871,3
161,2686f39c-bada-4658-854a-a62e7e5e8b8d,758,3
38,067c472f-4465-4289-978c-0c76f743b8df,133,3
139,2686f39c-bada-4658-854a-a62e7e5e8b8d,107,3
522,74278bda-b644-4520-8f0c-720eaf059935,1096,3
509,74278bda-b644-4520-8f0c-720eaf059935,871,3
